"Rank","Player","Team","Bye","POS","AVG"
"369","Will Howard","PIT","9","QB47","370.0"
"370","Drew Allar","PIT","9","QB48","371.0"
"371","Cade Klubnik","NYJ","13","QB49","372.0"
"372","Jimmy Horn Jr.","CAR","5","WR157","373.0"
"373","Marquez Valdes-Scantling","DAL","14","WR158","374.0"
"374","Nate Boerkircher","JAC","7","TE68","375.0"
"375","Trey Lance","LAC","7","QB50","376.0"
"376","Jalen Milroe","SEA","11","QB51","377.0"
"377","Ty Simpson","LAR","11","QB52","378.0"
"378","Tyrod Taylor","GB","11","QB53","379.0"
"379","Tanner McKee","PHI","10","QB54","380.0"
"380","Quinn Ewers","MIA","6","QB55","381.0"
"381","Davis Mills","HOU","8","QB56","382.0"
"382","Teddy Bridgewater","DET","6","QB57","383.0"
"383","Tim Patrick","NYJ","13","WR159","384.0"
